date,serial_number,model,user_capacity,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2016-03-26,Z3040J5T,ST4000DM000,4000787030016,0,117,143380952,98,0,100,2,100,0,81,130278183,97,3103,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,99.0,2972.0,23.0,23.0,100,0,100,0,200,0,100.0,3062.0,100.0,15088878576.0,100.0,1340815997.0
2016-03-26,S301NGZM,ST4000DM000,4000787030016,0,117,145940688,95,0,100,5,100,0,81,138860012,96,3578,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,96.0,8231.0,21.0,21.0,100,0,100,0,200,0,100.0,3502.0,100.0,16775360968.0,100.0,1528058747.0
2016-03-26,S301NGZN,ST4000DM000,4000787030016,0,118,190729760,95,0,100,5,100,0,81,144169097,96,3579,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,98.0,5497.0,26.0,26.0,100,0,100,0,200,0,100.0,3525.0,100.0,17014206184.0,100.0,1598244985.0
2016-03-26,Z305C1W5,ST4000DM000,4000787030016,0,107,14603608,97,0,100,3,100,0,78,67769147,99,1380,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,100.0,0.0,100.0,1865.0,35.0,35.0,100,0,100,0,200,0,100.0,1294.0,100.0,10219052568.0,100.0,643680200.0
2016-03-26,Z305D6Z2,ST4000DM000,4000787030016,0,119,203510776,97,0,100,3,100,0,75,33158878,99,1110,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,97.0,6173.0,28.0,28.0,100,0,100,0,200,0,100.0,1034.0,100.0,6019323744.0,100.0,599415629.0
2016-03-26,Z305C1W3,ST4000DM000,4000787030016,0,117,148315840,99,0,100,1,100,0,77,50734403,99,919,100,0,100,1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,0.0,99.0,2948.0,34.0,34.0,100,0,100,0,200,0,100.0,900.0,100.0,8338765104.0,100.0,699222015.0
2016-03-26,Z300WG7A,ST4000DM000,4000787030016,0,112,49262680,91,0,100,15,100,0,83,204345126,79,19171,100,0,100,15,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,93.0,7.0,67.0,33.0,100.0,0.0,100.0,14.0,96.0,9348.0,33.0,33.0,100,0,100,0,200,0,100.0,149413322311780.0,100.0,23210766367.0,100.0,111143952467.0
2016-03-26,Z3042VED,ST4000DM000,4000787030016,0,117,150920984,98,0,100,2,100,0,81,132976125,96,3582,100,0,100,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,98.0,5018.0,21.0,21.0,100,0,100,0,200,0,100.0,3531.0,100.0,15875482104.0,100.0,1483642160.0
2016-03-26,Z305NZMM,ST4000DM000,4000787030016,0,116,108117704,97,0,100,3,100,0,64,2872198,100,270,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,1.0,99.0,2859.0,26.0,26.0,100,0,100,0,200,0,100.0,230.0,100.0,908244096.0,100.0,270081600.0
2016-03-26,Z300WG7R,ST4000DM000,4000787030016,0,117,127813392,91,0,100,13,100,0,87,504357198,78,19986,100,0,100,13,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,96.0,4.0,76.0,24.0,100.0,0.0,100.0,5.0,95.0,11628.0,24.0,24.0,100,0,100,0,200,0,100.0,19938.0,100.0,24826673326.0,100.0,216203952605.0
